date,ticker,n_comments,sentiment,users_holding,users_holding_lead,users_holding_lag,percent_change
2020-04-11,GOGO,0,none,5633,5816,5633,0.032487129415941673
2020-03-19,TROX,0,none,6000,6241,5912,0.055649526387009374
2020-04-17,BYFC,0,none,634,641,634,0.011041009463722329
2020-05-21,IGT,0,none,13877,14051,13505,0.04042947056645696
2020-03-17,BPMX,0,none,21078,21450,21004,0.021234050657017667
2020-04-14,BLU,0,none,843,846,846,0
2020-04-29,BOXL,0,none,1726,1762,1739,0.01322599194939622
2020-03-19,SNSS,0,none,5194,5216,5186,0.005784805244890112
2020-04-18,ADMP,0,none,4734,4757,4734,0.004858470637938428
2020-03-31,OVV,0,none,7756,7714,7697,0.0022086527218396768
2020-03-18,SDRL,0,none,5673,5776,5656,0.021216407355021172
2020-04-17,RBGLY,0,none,6347,6415,6288,0.02019720101781175
2020-05-07,VIG,0,none,8309,8390,8302,0.010599855456516538
2020-03-18,BYFC,0,none,595,598,601,-0.004991680532445919
2020-04-16,OPES,0,none,8,7,7,0
2020-04-20,MNLO,0,none,2760,2761,2755,0.0021778584392013745
2020-05-21,IRM,0,none,16175,16225,16142,0.005141865939784385
2020-03-11,LK,0,none,43452,43158,43546,-0.008910118036099757
2020-03-31,STML,0,none,3606,3642,3556,0.024184476940382504
2020-04-20,GWPH,0,none,15350,15375,15297,0.005099039027260277
2020-04-09,WTER,0,none,7359,7606,7299,0.042060556240580915
2020-04-13,PLM,0,none,8238,8236,8203,0.004022918444471557
2020-03-18,HMHC,0,none,369,382,362,0.05524861878453047
2020-05-17,YCBD,0,none,19609,23898,19609,0.21872609516038555
2020-04-16,CUK,0,none,21625,22719,21199,0.07170149535355441
2020-05-01,NEE,0,none,8882,8923,8825,0.011104815864022566
2020-04-22,AIM,0,none,11963,11958,11940,0.0015075376884421399
2020-04-25,NOG,0,none,33029,33947,33029,0.02779375700142306
2020-05-11,BZUN,0,none,8021,8005,8020,-0.0018703241895261513
2020-05-04,MITT,0,none,8199,8626,7893,0.09286709742810095
2020-03-27,SDRL,0,none,6093,6165,6019,0.02425652101678022
2020-03-15,BNGO,0,none,3455,3319,3457,-0.03991900491755862
2020-04-03,FCEL,0,none,58530,58522,58563,-7.00100746204968e-4
2020-05-07,SPWR,0,none,28548,28547,28531,5.607935228348904e-4
2020-04-21,LIVX,0,none,5050,5127,5001,0.02519496100779839
2020-03-04,SPAQ,0,none,13,13,13,0
2020-04-23,HL,0,none,5025,5031,4988,0.008620689655172376
2020-03-26,CJJD,0,none,1694,1760,1690,0.041420118343195256
2020-03-08,GOGO,0,none,3932,4040,3933,0.027205695397915175
2020-03-09,AUPH,0,none,11062,10959,11172,-0.019065520945220182
2020-03-25,VGT,0,none,13618,13748,13489,0.019200830306175476
2020-03-20,CEI,0,none,15722,16257,15276,0.0642183817753339
2020-04-06,VOOG,0,none,10108,10170,10088,0.008128469468675625
2020-03-18,ATHX,0,none,2013,2283,2018,0.13131813676907833
2020-04-14,ABUS,0,none,1174,1170,1171,-8.539709649871829e-4
